Song Name,Rank,Group
Ladders,50,long_term
we fell in love in october,49,long_term
Stuck with U (with Justin Bieber),48,long_term
Loving Is Easy,47,long_term
Self Care,46,long_term
Hurt,45,long_term
bad guy,44,long_term
wish you were gay,43,long_term
Weekend (feat. Miguel),42,long_term
SLOW DANCING IN THE DARK,41,long_term
Hurt Feelings,40,long_term
Blood // Water,39,long_term
Star Shopping,38,long_term
Don't Start Now,37,long_term
bad idea!,36,long_term
Rue,35,long_term
Them Changes,34,long_term
Hey Jude - Remastered 2015,33,long_term
Grace Kelly,32,long_term
Sunflower,31,long_term
Falling Down - Bonus Track,30,long_term
REEL IT IN,29,long_term
midnight love,28,long_term
Lalala,27,long_term
I Think I'm OKAY (with YUNGBLUD & Travis Barker),26,long_term
Elastic,25,long_term
dead girl in the pool.,24,long_term
i'll die anyway.,23,long_term
summer depression,22,long_term
ATTENTION,21,long_term
i wanna be your girlfriend,20,long_term
Come Back to Earth,19,long_term
All of Me,18,long_term
girls,17,long_term
Lucid Dreams,16,long_term
YEAH RIGHT,15,long_term
Heart Attack,14,long_term
CAN'T GET OVER YOU (feat. Clams Casino),13,long_term
Best Friend,12,long_term
Corduroy Dreams,11,long_term
Blister in the Sun - 2002 Remastered Version,10,long_term
Midsummer Madness,9,long_term
Caroline,8,long_term
My Favorite Part,7,long_term
What's the Use?,6,long_term
Spice Girl,5,long_term
Someone You Loved,4,long_term
bury a friend,3,long_term
Dang! (feat. Anderson .Paak),2,long_term
The Chain - 2004 Remaster,1,long_term
we fell in love in october,50,medium_term
Star Shopping,49,medium_term
bad idea!,48,medium_term
Rue,47,medium_term
midnight love,46,medium_term
summer depression,45,medium_term
i'll die anyway.,44,medium_term
i wanna be your girlfriend,43,medium_term
dead girl in the pool.,42,medium_term
two queens in a king sized bed,41,medium_term
girls,40,medium_term
Life is Beautiful,39,medium_term
white tee,38,medium_term
beamer boy,37,medium_term
Save That Shit,36,medium_term
witchblades,35,medium_term
Benz Truck (гелик),34,medium_term
Serotonin,33,medium_term
Serotonin,32,medium_term
Say It - Spotify Studio Oyster Recording,31,medium_term
I Think I'm OKAY (with YUNGBLUD & Travis Barker),30,medium_term
Spotlight,29,medium_term
i need to be alone.,28,medium_term
parents,27,medium_term
Awful Things,26,medium_term
Daisy,25,medium_term
Hello Kitty,24,medium_term
watch you sleep.,23,medium_term
hellboy,22,medium_term
Did You Come?,21,medium_term
Falling Down - Bonus Track,20,medium_term
i'll die anyway.,19,medium_term
dead girl in the pool.,18,medium_term
hornylovesickmess,17,medium_term
watch you sleep.,16,medium_term
i need to be alone.,15,medium_term
drive by,14,medium_term
Body And Mind,13,medium_term
OHFR?,12,medium_term
You Stupid Bitch,11,medium_term
lil jeep,10,medium_term
I'm Yer Dad,9,medium_term
bad idea!,8,medium_term
midnight love,7,medium_term
Peach Scone,6,medium_term
OMFG,5,medium_term
forget her,4,medium_term
4am,3,medium_term
the song they played (when i crashed into the wall),2,medium_term
cotton candy,1,medium_term
Serotonin,50,short_term
Star Shopping,49,short_term
Did You Come?,48,short_term
hornylovesickmess,47,short_term
Body And Mind,46,short_term
You Stupid Bitch,45,short_term
midnight love,44,short_term
Life is Beautiful,43,short_term
Rue,42,short_term
I'll Call You Mine,41,short_term
it would feel like this,40,short_term
.,39,short_term
Apartment 402,38,short_term
white tee,37,short_term
witchblades,36,short_term
Save That Shit,35,short_term
Benz Truck (гелик),34,short_term
beamer boy,33,short_term
Spotlight,32,short_term
cobain,31,short_term
Awful Things,30,short_term
lil jeep,29,short_term
Falling Down - Bonus Track,28,short_term
OMFG,27,short_term
the song they played (when i crashed into the wall),26,short_term
hellboy,25,short_term
drive by,24,short_term
worlds away,23,short_term
Praise The Lord (Da Shine) (feat. Skepta),22,short_term
nineteen,21,short_term
crybaby,20,short_term
yesterday,19,short_term
Who Dat Boy (feat. A$AP Rocky),18,short_term
walk away as the door slams,17,short_term
girls,16,short_term
interlude,15,short_term
gucci mane,14,short_term
Liar,13,short_term
big city blues,12,short_term
nose ring,11,short_term
fucked up,10,short_term
red drop shawty,9,short_term
RATCHETS,8,short_term
Wind Of Change,7,short_term
we think too much,6,short_term
goosebumps,5,short_term
Moving On,4,short_term
16 Lines,3,short_term
"Signed, Sealed, Delivered (I'm Yours)",2,short_term
Rockstarz (feat. Gab3),1,short_term
